text,label
"This ball and squeeker has outlasted all the other squeaky dog toys, including the hippo kong, kyjen Platypus plush squeaky eggs.  The Kyjen Invicibles Plush Snake Stuffingless dog toy is still squeaking and in pretty good shape, the pup detached some trim but couldn't figure out how to tear it up.  She shreaded her Kong Ballistic Ring dog toy in nothing flat, sadly.",0
"I really enjoyed this mystery as everything just fell in place from the start to finish. Of course there was a death to figure out the who dunnit part and then finish with a wedding. It was not a traditional wedding, but a wedding right along. A good read.",0
Puppy loves this donkey. She's a bit aggressive with it. I've had to stitch part of the neck back up. The sound box works great. No sign of her being able to remove it. I would buy this again if he meets his demise since he's her favorite.,0
Mine came brand new practically. It's so warm with all them put together perfect sleeping bag should last a life time if stored well.,0
"Cuts perfect and last for an extremely long time. We use Freud exclusively in our shop. Best blades on the market. Only thing I would change would be to make them without the red paint. It sometimes transfers to the material that is being cut and has to be sanded off. On the other hand, the red blades look cool. This 40 tooth cuts better than other brands with 90+ tooth blades.",0
I love this watch!  It's smaller than expected but very well made and I love the colors as well.  I think I may have found a new favorite watch designer.,0
"Used this for a ""broadcast ON-THE-AIR"" sign illluminator and it is very bright, very red(!), the light is evenly dispersed, and uses less than 2 watts!  Love it!",0
I never saw the original so I guess I don't have that to compare it to like most of the reviews on here. I thought it was a good movie for the most part. A little cliche and predictable at points but there are a million movies out there. It's kind of hard to be completely original. I'm not a crazy movie critic though. I enjoyed sitting down and watching this. My life isn't ruined. It's a movie.,0
"I've had this Lunchbots for over a year now.  Overall, it's been a decent container, though only useful for dry goods.  My original intent was to purchase an 'heirloom' lunchbox that was completely foodsafe -- what better choice for that than stainless steel, right?

So anyway, over a year later, the paint regularly chips off.  Each day, there are some paint flakes to be found everyhwere -- in the tote bag I use to carry this container, on the rim, and if I'm not careful, in my food.

Given the times we live in, and that there's no way for me to know for certain whether there's lead, cadmium, or other toxics in the paint, this will soon go into the trash.

In fact, that's why I'm on Amazon today -- I came shopping for a 100% stainless steel replacement.  After seeing this pop up in the search, I thought I'd at least help others by sharing my experience.

Someone did suggest that Lunchbots was extremely customer-service oriented, and would replace the lids -- no questions asked.  That was not my experience at all.  I wrote to customer service, and got a standard 'stock' response back which suggested the product is no longer under warranty and this was considered normal 'wear and tear' -- but that I could buy some replacement lids (which were also painted) if I wanted to, at my expense.

(apparently this comes with a one year warranty, so that's all the product is guaranteed for)

So much for quality and so much for manufacturer product support.

Seriously -- what's the point of spending some $20 for a stainless steel item if it won't last much longer than a year?

Best & Respectfully--",0
"I have three of these now, switched out all my AR Platform scopes with these.  They are light but excitedly rugged, and with 1"" inch inserts handle 1"" scope beautifully as well.  The  MOA return to zero isn't bunk, I've generally seen either spot on or at most a  MOA difference after dismounting for cleaning.  I originally decided to try one for just that reason, the ability to clean, but when I look at the precision rings, 20 MOA rails etc. these are very hard too beat and real value for their cost.  When you regularly shoot 300-600 yards with an AR this is the mount to have.",0
"Great read!  I couldn't put this down, and I can't to read the next one.  The author knows what he's doing and his writing shows that he has a mastery of the language.",0
"I have friends who are SCCA corner workers and others who are EMTs and Firefighters. Both are jobs that can involve cutting, prying open, grabbing hot or sharp things, etc.  I saw this as a good tool to keep in my car to use ""just in case"" I had a chance to be a hero, like my friends. But first, I brought it to church to show my firefighter friend and get his thoughts. Here's what he said:

He thought it was a little heavy to carry but he thought he would be able to substitute it for a couple of other tools he carries. He liked the combo pliers/wire cutters and saw how they could be used to turn, bend or cut through wires or grills. He immediately recognized the key slot that could close gas valves. The pry bar end too could be useful to open stuck doors or smash windows. Finally, and the reason for only 4 stars, the fire hose tightened isn't very useful since he say that you really need two to snug up the joint.

Quality build, several useful tools, a little heavy, worth a try for the heros in your life!",0
